Voltage,Channel,Mean
0.5,1,57410.6
0.5,2,92500.2
0.5,3,99105.8
0.5,4,83600.3
0.5,5,100362
0.5,6,100589
0.5,7,0
0.5,8,0
0.5,9,0
0.5,10,0
0.5,11,0
0.5,12,0
0.5,13,0
0.5,14,0
0.5,15,0
0.5,16,0
0.6,1,68748.7
0.6,2,110765
0.6,3,118969
0.6,4,100564
0.6,5,120280
0.6,6,119997
0.6,7,0
0.6,8,0
0.6,9,0
0.6,10,0
0.6,11,0
0.6,12,0
0.6,13,0
0.6,14,0
0.6,15,0
0.6,16,0
0.7,1,80511.9
0.7,2,128814
0.7,3,139013
0.7,4,116965
0.7,5,140279
0.7,6,140313
0.7,7,0
0.7,8,0
0.7,9,0
0.7,10,0
0.7,11,0
0.7,12,0
0.7,13,0
0.7,14,0
0.7,15,0
0.7,16,0
0.8,1,92512.3
0.8,2,146758
0.8,3,159676
0.8,4,134031
0.8,5,160338
0.8,6,160815
0.8,7,0
0.8,8,0
0.8,9,0
0.8,10,0
0.8,11,0
0.8,12,0
0.8,13,0
0.8,14,0
0.8,15,0
0.8,16,0
0.9,1,132818
0.9,2,164375
0.9,3,178214
0.9,4,150625
0.9,5,180625
0.9,6,180625
0.9,7,0
0.9,8,0
0.9,9,0
0.9,10,0
0.9,11,0
0.9,12,0
0.9,13,0
0.9,14,0
0.9,15,0
0.9,16,0
1,1,115911
1,2,182031
1,3,198136
1,4,166695
1,5,200569
1,6,200406
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
